Origin;  Country of asylum  ;  Start  ;  Repartation  ; End ;;;;;;;
Somalia;Yemen;204.685;40;226.909;;;;;;;
South Sudan;Ethiopia;-;5;58.715;;;;;;;
South Sudan;Kenya;15.160;-;16.774;;;;;;;
South Sudan;Uganda;-;1.906;11.135;;;;;;;
Sri Lanka;Canada;15.174;-;13.705;;;;;;;
Sri Lanka;France;22.719;-;23.225;;;;;;;
Sri Lanka;Germany;11.724;-;11.672;;;;;;;
Sri Lanka;India;68.152;1.451;67.165;;;;;;;
Palestinian3;Egypt;70.033;-;70.028;;;;;;;
Palestinian3;Iraq;11.549;-;11.467;;;;;;;
Stateless;Germany;5.010;-;5.359;;;;;;;
Sudan;Chad;298.311;17.657;306.960;;;;;;;
Sudan;Egypt;11.177;150;12.124;;;;;;;
Sudan;Ethiopia;45.286;-;27.175;;;;;;;
Sudan;Israel;8.100;-;10.743;;;;;;;
Sudan;South Sudan;76.845;-;176.834;;;;;;;
Sudan;Uganda;18.268;1.671;7.910;;;;;;;
Syrian Arab Rep.;Egypt;9;-;12.836;;;;;;;
Syrian Arab Rep.;Germany;10.155;-;18.165;;;;;;;
Syrian Arab Rep.;Iraq;323;-;63.586;;;;;;;
Syrian Arab Rep.;Jordan;193;-;238.798;;;;;;;
Syrian Arab Rep.;Lebanon;124;-;126.939;;;;;;;
Syrian Arab Rep.;Sweden;1.206;-;6.051;;;;;;;
Syrian Arab Rep.;Turkey;19;68.573;248.466;;;;;;;
The former Yugoslav Republic of Macedonia;Germany;5.982;-;6.175;;;;;;;
Tibetan;Nepal;15.000;-;15.000;;;;;;;
Turkey;France;10.885;-;10.887;;;;;;;
Turkey;Germany;92.968;-;90.773;;;;;;;
Turkey;Iraq;15.083;-;15.496;;;;;;;
Ukraine;Germany;19.922;-;20.059;;;;;;;
Venezuela (Bolivarian Republic of);United States;6.441;-;6.995;;;;;;;
Viet Nam4;China;300.897;-;300.897;;;;;;;
Viet Nam;France;8.654;-;8.605;;;;;;;
Viet Nam;Germany;24.261;-;23.799;;;;;;;
Western Sahara5;Algeria;90.000;-;90.000;;;;;;;
Western Sahara;Mauritania;26.000;-;26.000;;;;;;;
Zimbabwe;United Kingdom;15.129;-;12.155;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
