Origin;  Country of asylum  ;  Start  ;  Repartation  ;  End  ;;;;;;;
Syrian Arab Rep.;Egypt;12.836;-;131.659;;;;;;;
Syrian Arab Rep.;Germany1;18.165;-;21.253;;;;;;;
Syrian Arab Rep.;Iraq;63.586;-;212.809;;;;;;;
Syrian Arab Rep.;Jordan;238.798;-;585.304;;;;;;;
Syrian Arab Rep.;Lebanon;126.939;*;851.284;;;;;;;
Syrian Arab Rep.;Libya;3.794;-;16.796;;;;;;;
Syrian Arab Rep.;Sweden;6.051;-;17.984;;;;;;;
Syrian Arab Rep.;Turkey;248.466;140.756;585.601;;;;;;;
Tibetan;Nepal;15.000;-;15.000;;;;;;;
Turkey;France;10.887;-;10.867;;;;;;;
Turkey;Germany1;90.773;-;24.449;;;;;;;
Turkey;Iraq;15.496;-;15.496;;;;;;;
Venezuela (Boliv. Rep. of);United States;6.995;-;7.156;;;;;;;
Viet Nam8;China;300.897;-;300.896;;;;;;;
Viet Nam;France;8.605;-;8.528;;;;;;;
Western Sahara9;Algeria;90.000;-;90.000;;;;;;;
Western Sahara;Mauritania;26.000;-;26.001;;;;;;;
Zimbabwe;United Kingdom;12.158;-;10.302;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
