Origin;  Country of asylum  ;  Start  ;  Repartation  ;  End  ;;;;;;;
Dem. Rep. of the Congo;Uganda;81.804;7.985;81.487;;;;;;;
Dem. Rep. of the Congo;United Rep. of Tanzania;60.186;102;61.913;;;;;;;
Dem. Rep. of the Congo;Zambia;12.342;20;12.509;;;;;;;
Eritrea;Ethiopia;44.791;-;54.896;;;;;;;
Eritrea;Israel;16.499;-;31.119;;;;;;;
Eritrea;Italy;10.856;-;11.206;;;;;;;
Eritrea;Norway;4.668;-;5.846;;;;;;;
Eritrea;Sudan;103.798;-;100.464;;;;;;;
Eritrea;Sweden;3.921;-;5.123;;;;;;;
Eritrea;Switzerland;6.859;-;9.592;;;;;;;
Eritrea;United Kingdom;9.430;-;9.851;;;;;;;
Ethiopia;Kenya;21.253;-;21.857;;;;;;;
Ethiopia;United States;11.421;-;11.132;;;;;;;
Ghana;Togo;13.575;-;13.676;;;;;;;
Haiti;United States;18.487;-;24.013;;;;;;;
India;Canada;5.954;-;5.621;;;;;;;
India;United States;7.842;-;6.657;;;;;;;
Indonesia;Papua New Guinea;9.689;-;9.368;;;;;;;
Indonesia;United States;5.605;-;5.056;;;;;;;
Iran (Islamic Rep. of);Germany;20.444;-;20.462;;;;;;;
Iran (Islamic Rep. of);Iraq;7.989;-;8.229;;;;;;;
Iran (Islamic Rep. of);United Kingdom;10.837;-;11.632;;;;;;;
Iraq;Egypt;6.772;1.735;6.037;;;;;;;
Iraq;Germany;50.432;905;48.976;;;;;;;
Iraq;Iran (Islamic Rep. of);45.708;18.015;45.937;;;;;;;
Iraq1;Jordan;450.000;4.575;450.000;;;;;;;
Iraq;Lebanon;7.630;560;8.491;;;;;;;
Iraq;Netherlands;17.779;920;18.255;;;;;;;
Iraq;Norway;6.320;320;6.257;;;;;;;
Iraq;Sweden;29.013;2.265;27.367;;;;;;;
Iraq1;Syrian Arab Rep.;1.000.000;28.230;750.000;;;;;;;
Iraq;Turkey;5.277;215;7.071;;;;;;;
Iraq;United Kingdom;18.143;835;15.652;;;;;;;
Iraq;United States;5.429;1.769;5.126;;;;;;;
Lao People's Dem. Rep.;France;7.445;-;7.382;;;;;;;
Lebanon;Germany;12.514;-;11.697;;;;;;;
Liberia;C“te d'Ivoire;25.563;1.174;23.650;;;;;;;
Liberia;Ghana;11.585;470;11.295;;;;;;;
Liberia;Guinea;9.789;49;9.972;;;;;;;
Liberia;Nigeria;5.316;1;5.299;;;;;;;
Liberia;Sierra Leone;8.341;67;8.046;;;;;;;
Mauritania;Mali;10.468;-;12.442;;;;;;;
Mauritania;Senegal;19.937;1.367;19.917;;;;;;;
Mexico;Canada;5.281;-;5.574;;;;;;;
Myanmar;Bangladesh;229.226;-;229.644;;;;;;;
Myanmar;India;4.630;-;6.621;;;;;;;
Myanmar;Malaysia;76.120;-;81.146;;;;;;;
Myanmar;Thailand;95.718;-;88.148;;;;;;;
Pakistan;Canada;14.526;-;13.149;;;;;;;
Pakistan;Germany;7.078;-;6.629;;;;;;;
Palestinian2;Egypt;70.026;-;70.029;;;;;;;
Palestinian2;Iraq;10.798;-;11.549;;;;;;;
Russian Fed.;Austria;17.229;-;18.473;;;;;;;
Russian Fed.;France;9.858;-;10.882;;;;;;;
Russian Fed.;Germany;39.460;-;39.816;;;;;;;
Russian Fed.;Poland;14.730;-;14.897;;;;;;;
Russian Fed.;United States;7.043;-;6.863;;;;;;;
Rwanda;Congo;7.775;55;8.374;;;;;;;
Rwanda;Dem. Rep. of the Congo;69.836;8.352;61.481;;;;;;;
Rwanda;Uganda;12.590;7;12.998;;;;;;;
Rwanda;Zambia;5.736;29;5.559;;;;;;;
Senegal;Gambia;7.359;-;8.359;;;;;;;
Senegal;Guinea-Bissau;7.480;-;7.658;;;;;;;
Serbia (and Kosovo: S/RES/1244 (1999));France;9.985;-;10.891;;;;;;;
Serbia (and Kosovo: S/RES/1244 (1999));Germany;122.340;-;110.455;;;;;;;
Serbia (and Kosovo: S/RES/1244 (1999));Montenegro;10.948;71;9.367;;;;;;;
Serbia (and Kosovo: S/RES/1244 (1999));Sweden;6.848;-;5.529;;;;;;;
Somalia;Djibouti;14.216;-;19.426;;;;;;;
Somalia;Egypt;6.172;18;6.328;;;;;;;
Somalia;Ethiopia;81.247;-;185.466;;;;;;;
Somalia;Italy;7.865;-;8.497;;;;;;;
Somalia;Kenya;351.773;70;517.666;;;;;;;
Somalia;Netherlands;13.736;-;15.715;;;;;;;
Somalia;Norway;7.342;-;7.981;;;;;;;
Somalia;South Africa;15.186;-;15.186;;;;;;;
Somalia;Sweden;15.238;-;17.602;;;;;;;
Somalia;Uganda;11.151;-;14.023;;;;;;;
Somalia;United Kingdom;23.893;-;19.668;;;;;;;
Somalia;Yemen;179.845;106;204.685;;;;;;;
Sri Lanka;Canada;16.967;-;15.174;;;;;;;
Sri Lanka;France;21.833;-;22.719;;;;;;;
Sri Lanka;Germany;12.057;-;11.724;;;;;;;
Sri Lanka;India;69.998;2.307;68.152;;;;;;;
Sri Lanka;United Kingdom;6.822;-;5.737;;;;;;;
Stateless;Germany;5.103;-;5.010;;;;;;;
Sudan;Chad;278.257;30.885;298.311;;;;;;;
Sudan;Egypt;10.035;144;10.324;;;;;;;
Sudan;Ethiopia;25.238;268;45.286;;;;;;;
Sudan;Israel;8.137;100;9.000;;;;;;;
Sudan;Kenya;20.528;28;17.568;;;;;;;
Sudan;South Sudan;-;-;76.845;;;;;;;
Sudan;Uganda;19.382;807;18.268;;;;;;;
Syrian Arab Rep.;Germany;10.518;-;10.155;;;;;;;
The former Yugoslav Republic of Macedonia;Germany;6.035;-;5.982;;;;;;;
Tibetan;Nepal;15.000;-;15.000;;;;;;;
Togo;Benin;5.912;64;5.883;;;;;;;
Turkey;France;11.009;-;10.885;;;;;;;
Turkey;Germany;97.908;-;92.968;;;;;;;
Turkey;Iraq;15.606;-;15.083;;;;;;;
Turkey;United Kingdom;6.172;-;5.776;;;;;;;
Ukraine;Germany;19.398;-;19.922;;;;;;;
Uzbekistan;Kyrgyzstan;2.021;-;5.660;;;;;;;
Venezuela (Bolivarian Republic of);United States;5.675;-;6.441;;;;;;;
Viet Nam3;China;300.897;-;300.897;;;;;;;
Viet Nam;France;8.719;-;8.654;;;;;;;
Viet Nam;Germany;24.918;-;24.261;;;;;;;
Western Sahara4;Algeria;90.000;-;90.000;;;;;;;
Western Sahara;Mauritania;26.000;-;26.000;;;;;;;
Zimbabwe;United Kingdom;14.819;-;15.118;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
