 country of asylum ;GDP;inhibitans;km2;GDP-rank;inhibitans-rank;km2-rank
Equatorial Guinea; -   ; -   ; .. ; 139 ; 161 ; .. 
Eritrea; 1,93 ; 0,58 ; 23,90 ; 60 ; 83 ; 84 
Estonia; -   ; 0,09 ; 2,59 ; 139 ; 116 ; 132 
Ethiopia; 469,41 ; 7,24 ; 620,86 ; 1 ; 27 ; 25 
Fiji; -   ; 0,01 ; 0,66 ; 139 ; 150 ; 150 
Finland; 0,29 ; 2,15 ; 35,26 ; 83 ; 54 ; 77 
France; 6,56 ; 4,13 ; 484,11 ; 43 ; 42 ; 28 
Gabon; 0,05 ; 0,60 ; 3,79 ; 113 ; 82 ; 125 
Gambia; 7,32 ; 6,11 ; 1.086,27 ; 38 ; 30 ; 13 
Georgia; 0,20 ; 0,41 ; 23,76 ; 89 ; 87 ; 85 
Germany; 5,39 ; 3,10 ; 703,08 ; 46 ; 46 ; 19 
Ghana; 4,56 ; 0,69 ; 77,06 ; 48 ; 79 ; 63 
Greece; 0,32 ; 0,75 ; 62,20 ; 82 ; 76 ; 71 
Grenada; -   ; -   ; -   ; 139 ; 161 ; 166 
Guatemala; 0,03 ; 0,01 ; 1,84 ; 119 ; 150 ; 138 
Guinea; 7,08 ; 0,71 ; 35,40 ; 39 ; 78 ; 76 
Guinea-Bissau; 6,26 ; 4,82 ; 254,61 ; 44 ; 37 ; 44 
Guyana; -   ; 0,01 ; 0,05 ; 139 ; 150 ; 162 
Haiti; -   ; -   ; 0,18 ; 139 ; 161 ; 159 
Honduras; -   ; -   ; 0,20 ; 139 ; 161 ; 157 
Hungary; 0,17 ; 0,42 ; 45,15 ; 91 ; 85 ; 73 
Iceland; -   ; 0,32 ; 1,02 ; 139 ; 93 ; 146 
India; 35,02 ; 0,15 ; 63,41 ; 22 ; 104 ; 70 
Indonesia; 0,50 ; 0,02 ; 2,78 ; 77 ; 142 ; 131 
Iran, Islamic Rep. of; 56,40 ; 12,53 ; 603,45 ; 20 ; 13 ; 26 
Iraq; 19,31 ; 8,17 ; 650,63 ; 27 ; 24 ; 21 
Ireland; 0,12 ; 1,25 ; 84,18 ; 98 ; 70 ; 62 
Israel; 1,12 ; 4,85 ; 1.847,59 ; 66 ; 36 ; 8 
Italy; 2,62 ; 1,57 ; 311,21 ; 58 ; 64 ; 42 
Jamaica; -   ; 0,01 ; 1,36 ; 139 ; 150 ; 142 
Japan; 0,06 ; 0,02 ; 6,48 ; 110 ; 142 ; 112 
Jordan; 61,64 ; 89,55 ; 7.370,15 ; 19 ; 2 ; 3 
Kazakhstan; 0,03 ; 0,04 ; 0,25 ; 119 ; 136 ; 156 
Kenya; 186,30 ; 12,31 ; 944,43 ; 6 ; 14 ; 15 
Kuwait; 0,01 ; 0,16 ; 34,26 ; 129 ; 103 ; 78 
Kyrgyzstan; 0,13 ; 0,07 ; 2,18 ; 95 ; 122 ; 135 
Lao People's Dem. Rep.; -   ; -   ; -   ; 139 ; 161 ; 166 
Latvia; 0,01 ; 0,10 ; 3,04 ; 129 ; 112 ; 128 
Lebanon; 80,83 ; 208,91 ; 113.515,49 ; 13 ; 1 ; 1 
Lesotho; 0,02 ; 0,02 ; 1,44 ; 124 ; 142 ; 140 
Liberia; 46,23 ; 8,85 ; 404,03 ; 21 ; 21 ; 35 
Libya; 1,79 ; 4,47 ; 17,26 ; 62 ; 38 ; 91 
Liechtenstein; .. ; 2,89 ; 708,61 ; .. ; 49 ; 18 
Lithuania; 0,04 ; 0,36 ; 16,32 ; 115 ; 91 ; 93 
Luxembourg; 0,01 ; 2,14 ; 456,36 ; 129 ; 55 ; 31 
Madagascar; 0,01 ; -   ; 0,02 ; 129 ; 161 ; 163 
Malawi; 7,63 ; 0,54 ; 75,63 ; 37 ; 84 ; 64 
Malaysia; 3,79 ; 3,26 ; 294,62 ; 52 ; 44 ; 43 
Mali; 9,30 ; 0,88 ; 11,93 ; 35 ; 73 ; 105 
Malta; 0,18 ; 14,58 ; 19.472,84 ; 90 ; 10 ; 2 
Mauritania; 19,56 ; 19,36 ; 73,63 ; 26 ; 7 ; 65 
Mauritius; -   ; -   ; -   ; 139 ; 161 ; 166 
Mexico; 0,13 ; 0,02 ; 1,10 ; 95 ; 142 ; 144 
Micronesia (Federated States of); -   ; -   ; -   ; 139 ; 161 ; 166 
Monaco; .. ; 0,87 ; 163,37 ; .. ; 74 ; 53 
Mongolia; -   ; -   ; 0,01 ; 139 ; 161 ; 164 
Montenegro; 0,41 ; 9,92 ; 451,46 ; 79 ; 18 ; 32 
Morocco; 0,28 ; 0,06 ; 5,27 ; 84 ; 127 ; 120 
Mozambique; 3,97 ; 0,17 ; 5,77 ; 50 ; 101 ; 114 
Myanmar; -   ; -   ; -   ; 139 ; 161 ; 166 
Namibia; 0,17 ; 0,69 ; 2,01 ; 91 ; 79 ; 137 
Nauru; .. ; 50,60 ; .. ; .. ; 3 ; .. 
Nepal; 15,24 ; 1,29 ; 246,41 ; 29 ; 68 ; 45 
Netherlands; 1,72 ; 4,89 ; 2.350,06 ; 63 ; 35 ; 6 
New Zealand; 0,04 ; 0,30 ; 5,00 ; 115 ; 94 ; 121 
Nicaragua; 0,07 ; 0,06 ; 2,79 ; 108 ; 127 ; 130 
Niger; 87,14 ; 4,29 ; 69,10 ; 12 ; 40 ; 67 
Nigeria; 0,22 ; 0,01 ; 1,40 ; 88 ; 150 ; 141 
Norway; 0,70 ; 9,14 ; 147,40 ; 70 ; 19 ; 54 
Oman; -   ; 0,03 ; 0,39 ; 139 ; 139 ; 154 
Pakistan; 322,47 ; 8,33 ; 1.757,21 ; 2 ; 23 ; 10 
Palau; -   ; 0,05 ; 2,18 ; 139 ; 131 ; 135 
Panama; 0,87 ; 4,47 ; 229,60 ; 67 ; 38 ; 47 
Papua New Guinea; 3,82 ; 1,27 ; 20,48 ; 51 ; 69 ; 88 
Paraguay; 0,02 ; 0,02 ; 0,40 ; 124 ; 142 ; 153 
Peru; 0,12 ; 0,05 ; 1,09 ; 98 ; 131 ; 145 
Philippines; 0,04 ; -   ; 0,85 ; 115 ; 161 ; 148 
Poland; 0,63 ; 0,41 ; 50,65 ; 74 ; 87 ; 72 
Portugal; 0,03 ; 0,07 ; 7,61 ; 119 ; 122 ; 110 
Qatar; -   ; 0,06 ; 11,82 ; 139 ; 127 ; 106 
Rep. of Korea; 0,04 ; 0,03 ; 13,27 ; 115 ; 139 ; 98 
Rep. of Moldova; 0,09 ; 0,10 ; 11,54 ; 103 ; 112 ; 107 
Romania; 0,12 ; 0,12 ; 10,22 ; 98 ; 110 ; 109 
Russian Federation; 12,64 ; 2,20 ; 18,67 ; 31 ; 53 ; 90 
Rwanda; 79,66 ; 11,70 ; 5.243,03 ; 14 ; 15 ; 4 
Saint Kitts and Nevis; -   ; 0,02 ; 3,83 ; 139 ; 142 ; 124 
Saint Lucia; -   ; 0,01 ; 3,23 ; 139 ; 150 ; 127 
Saint Vincent and the Grenadines; -   ; -   ; -   ; 139 ; 161 ; 166 
Sao Tome and Principe; -   ; -   ; -   ; 139 ; 161 ; 166 
Saudi Arabia; -   ; 0,01 ; 0,11 ; 139 ; 150 ; 160 
Senegal; 6,14 ; 0,97 ; 72,43 ; 45 ; 71 ; 66 
Serbia and Kosovo; 3,28 ; 3,97 ; 345,43 ; 55 ; 43 ; 39 
Sierra Leone; 0,68 ; 0,22 ; 18,88 ; 71 ; 97 ; 89 
Singapore; -   ; -   ; -   ; 139 ; 161 ; 166 
Sint Maarten (Dutch part); .. ; 0,08 ; 88,24 ; .. ; 119 ; 61 
Slovakia; 0,03 ; 0,15 ; 16,33 ; 119 ; 104 ; 92 
Slovenia; 0,01 ; 0,14 ; 13,96 ; 129 ; 106 ; 97 
Solomon Islands; -   ; 0,01 ; .. ; 139 ; 150 ; .. 
Somalia; .. ; 0,34 ; 5,63 ; .. ; 92 ; 115 
South Africa; 8,74 ; 2,12 ; 93,70 ; 36 ; 57 ; 60 
South Sudan; 134,76 ; 22,32 ; 411,40 ; 7 ; 6 ; 34 
Spain; 0,17 ; 0,13 ; 11,48 ; 91 ; 109 ; 108 
Sri Lanka; 0,08 ; 0,04 ; 12,69 ; 104 ; 136 ; 99 
State of Palestine; .. ; -   ; .. ; .. ; 161 ; .. 
Sudan; 87,49 ; 9,05 ; 188,85 ; 11 ; 20 ; 50 
Suriname; -   ; -   ; 0,01 ; 139 ; 161 ; 164 
Swaziland; 0,06 ; 0,42 ; 31,12 ; 110 ; 85 ; 82 
Sweden; 3,06 ; 14,66 ; 318,42 ; 56 ; 9 ; 41 
Switzerland; 1,20 ; 8,45 ; 1.686,19 ; 65 ; 22 ; 12 
Syrian Arab Rep.; .. ; 7,95 ; 800,52 ; .. ; 25 ; 16 
Tajikistan; 0,66 ; 0,21 ; 12,55 ; 73 ; 99 ; 103 
Thailand; 6,99 ; 1,63 ; 213,53 ; 40 ; 63 ; 48 
The former Yugoslav Republic of Macedonia; 0,06 ; 0,40 ; 32,67 ; 110 ; 89 ; 80 
Timor-Leste; -   ; -   ; -   ; 139 ; 161 ; 166 
Togo; 15,26 ; 3,07 ; 381,95 ; 28 ; 47 ; 37 
Tonga; -   ; -   ; -   ; 139 ; 161 ; 166 
Trinidad and Tobago; -   ; 0,09 ; 23,59 ; 139 ; 116 ; 86 
Tunisia; 0,07 ; 0,07 ; 5,31 ; 108 ; 122 ; 119 
Turcs and Caicos Islands; .. ; 0,12 ; .. ; .. ; 110 ; .. 
Turkey; 94,10 ; 23,72 ; 2.355,40 ; 10 ; 5 ; 5 
Turkmenistan; -   ; 0,01 ; 0,06 ; 139 ; 150 ; 161 
Uganda; 215,52 ; 11,34 ; 1.767,63 ; 3 ; 16 ; 9 
Ukraine; 0,39 ; 0,07 ; 5,40 ; 81 ; 122 ; 116 
United Arab Emirates; 0,01 ; 0,05 ; 5,39 ; 129 ; 131 ; 117 
United Kingdom; 2,94 ; 1,82 ; 480,66 ; 57 ; 59 ; 29 
United Rep. of Tanzania; 64,28 ; 3,07 ; 168,13 ; 18 ; 47 ; 52 
United States of America; 4,92 ; 0,84 ; 28,72 ; 47 ; 75 ; 83 
Uruguay; 0,01 ; 0,08 ; 1,62 ; 129 ; 119 ; 139 
Uzbekistan; 0,02 ; -   ; 0,28 ; 124 ; 161 ; 155 
Vanuatu; -   ; -   ; -   ; 139 ; 161 ; 166 
Venezuela (Bolivarian Rep. of); 9,88 ; 5,68 ; 190,35 ; 33 ; 31 ; 49 
Viet Nam; -   ; -   ; -   ; 139 ; 161 ; 166 
Yemen; 66,23 ; 10,05 ; 624,79 ; 17 ; 17 ; 23 
Zambia; 6,59 ; 1,64 ; 34,13 ; 42 ; 62 ; 79 
Zimbabwe; 3,40 ; 0,40 ; 15,53 ; 53 ; 89 ; 95 
