 country of asylum ;GDP;inhibitans;km2;GDP-rank;inhibitans-rank;km2-rank
Hungary; 0,21 ; 0,41 ; 43,66 ; 88 ; 87 ; 63 
Iceland; -   ; 0,21 ; 0,67 ; 141 ; 98 ; 137 
India; 48,26 ; 0,15 ; 58,75 ; 17 ; 104 ; 58 
Indonesia; 0,36 ; 0,01 ; 0,96 ; 83 ; 145 ; 134 
Iran (Islamic Rep. of); 64,42 ; 11,74 ; 534,94 ; 14 ; 13 ; 25 
Iraq; 20,19 ; 3,12 ; 223,22 ; 27 ; 45 ; 41 
Ireland; 0,15 ; 1,42 ; 91,00 ; 94 ; 58 ; 53 
Israel; 1,45 ; 6,54 ; 2.327,72 ; 67 ; 23 ; 5 
Italy; 2,14 ; 1,07 ; 215,12 ; 62 ; 69 ; 43 
Jamaica; -   ; 0,01 ; 1,81 ; 141 ; 145 ; 125 
Japan; 0,07 ; 0,02 ; 6,91 ; 111 ; 135 ; 100 
Jordan; 48,02 ; 48,93 ; 3.359,42 ; 18 ; 1 ; 3 
Kazakhstan; 0,04 ; 0,04 ; 0,21 ; 116 ; 130 ; 146 
Kenya; 301,15 ; 13,94 ; 966,08 ; 3 ; 12 ; 14 
Kuwait; 0,01 ; 0,25 ; 38,94 ; 132 ; 94 ; 69 
Kyrgyzstan; 2,03 ; 0,93 ; 24,83 ; 63 ; 73 ; 79 
Lao People's Dem. Rep.; -   ; -   ; -   ; 141 ; 160 ; 152 
Latvia; 0,01 ; 0,06 ; 1,95 ; 132 ; 118 ; 123 
Lebanon; 8,85 ; 31,68 ; 12.968,63 ; 39 ; 3 ; 2 
Lesotho; 0,02 ; 0,02 ; 1,12 ; 125 ; 135 ; 131 
Liberia; 87,75 ; 16,50 ; 684,48 ; 11 ; 11 ; 19 
Libya; 0,51 ; 1,11 ; 4,36 ; 79 ; 67 ; 112 
Liechtenstein; .. ; 2,83 ; 675,50 ; .. ; 46 ; 20 
Lithuania; 0,05 ; 0,26 ; 13,48 ; 112 ; 93 ; 90 
Luxembourg; 0,04 ; 5,74 ; 1.114,09 ; 116 ; 26 ; 13 
Madagascar; 0,01 ; -   ; 0,02 ; 132 ; 160 ; 151 
Malawi; 6,50 ; 0,44 ; 55,22 ; 45 ; 84 ; 60 
Malaysia; 5,21 ; 3,18 ; 272,32 ; 50 ; 43 ; 37 
Mali; 12,59 ; 0,91 ; 11,10 ; 36 ; 75 ; 94 
Malta; 0,31 ; 19,78 ; 26.351,44 ; 84 ; 8 ; 1 
Mauritania; 34,82 ; 23,26 ; 77,13 ; 22 ; 6 ; 54 
Mauritius; -   ; -   ; -   ; 141 ; 160 ; 152 
Mexico; 0,10 ; 0,01 ; 0,77 ; 100 ; 145 ; 136 
Micronesia (Federated States of); .. ; -   ; .. ; .. ; 160 ; .. 
Monaco; .. ; 1,06 ; .. ; .. ; 70 ; .. 
Mongolia; -   ; -   ; .. ; 141 ; 160 ; .. 
Montenegro; 1,01 ; 17,75 ; .. ; 72 ; 10 ; .. 
Morocco; 0,14 ; 0,02 ; 1,83 ; 96 ; 135 ; 124 
Mozambique; 3,96 ; 0,19 ; 5,58 ; 55 ; 100 ; 104 
Myanmar; -   ; -   ; -   ; 141 ; 160 ; 152 
Namibia; 0,24 ; 0,79 ; 2,19 ; 87 ; 77 ; 121 
Nepal; 42,14 ; 1,88 ; 382,06 ; 19 ; 54 ; 32 
Netherlands; 1,75 ; 4,49 ; 2.125,12 ; 65 ; 35 ; 7 
New Zealand; 0,05 ; 0,35 ; 5,62 ; 112 ; 88 ; 103 
Nicaragua; 0,04 ; 0,02 ; 1,00 ; 116 ; 135 ; 133 
Niger; 55,97 ; 3,26 ; 42,53 ; 16 ; 42 ; 65 
Nigeria; 1,11 ; 0,02 ; 3,45 ; 69 ; 135 ; 115 
Norway; 0,75 ; 8,77 ; 134,17 ; 76 ; 17 ; 49 
Oman; -   ; 0,05 ; 0,45 ; 141 ; 122 ; 141 
Pakistan; 552,28 ; 9,44 ; 1.868,52 ; 1 ; 16 ; 8 
Palau; .. ; 0,05 ; .. ; .. ; 122 ; .. 
Panama; 1,09 ; 4,96 ; 231,27 ; 70 ; 32 ; 39 
Papua New Guinea; 3,57 ; 1,37 ; 20,20 ; 57 ; 60 ; 82 
Paraguay; 0,02 ; 0,02 ; 0,33 ; 125 ; 135 ; 144 
Peru; 0,10 ; 0,04 ; 0,87 ; 100 ; 130 ; 135 
Philippines; 0,03 ; -   ; 0,47 ; 121 ; 160 ; 140 
Poland; 0,76 ; 0,42 ; 51,19 ; 75 ; 86 ; 62 
Portugal; 0,02 ; 0,05 ; 5,26 ; 125 ; 122 ; 107 
Qatar; -   ; 0,05 ; 7,11 ; 141 ; 122 ; 99 
Rep. of Korea; 0,01 ; 0,01 ; 4,92 ; 132 ; 145 ; 109 
Rep. of Moldova; 0,05 ; 0,05 ; 5,49 ; 112 ; 122 ; 105 
Romania; 0,10 ; 0,06 ; 5,32 ; 100 ; 118 ; 106 
Russian Federation; 0,18 ; 0,02 ; 0,19 ; 90 ; 135 ; 147 
Rwanda; 41,23 ; 5,48 ; 2.299,23 ; 20 ; 28 ; 6 
Saint Kitts and Nevis; -   ; -   ; .. ; 141 ; 160 ; .. 
Saint Lucia; -   ; 0,01 ; .. ; 141 ; 145 ; .. 
Saint Maarten; .. ; .. ; .. ; .. ; .. ; .. 
Saint Vincent and the Grenadines; -   ; -   ; .. ; 141 ; 160 ; .. 
Sao Tome and Principe; .. ; -   ; -   ; .. ; 160 ; 152 
Saudi Arabia; 0,02 ; 0,02 ; 0,30 ; 125 ; 135 ; 145 
Senegal; 6,56 ; 1,15 ; 72,09 ; 44 ; 66 ; 55 
Serbia (and Kosovo: S/RES/1244 (1999)); 8,18 ; 6,73 ; 649,30 ; 42 ; 21 ; 21 
Sierra Leone; 3,08 ; 0,72 ; 57,88 ; 59 ; 78 ; 59 
Singapore; -   ; -   ; 5,01 ; 141 ; 160 ; 108 
Slovakia; 0,03 ; 0,12 ; 13,53 ; 121 ; 106 ; 89 
Slovenia; 0,01 ; 0,09 ; 8,68 ; 132 ; 111 ; 97 
Somalia; .. ; 0,25 ; 3,63 ; .. ; 94 ; 114 
South Africa; 5,65 ; 1,30 ; 53,38 ; 49 ; 63 ; 61 
South Sudan; 208,93 ; 19,64 ; .. ; 4 ; 9 ; .. 
Spain; 0,15 ; 0,10 ; 8,93 ; 94 ; 109 ; 96 
Sri Lanka; 0,02 ; 0,01 ; 1,65 ; 125 ; 145 ; 126 
State of Palestine; .. ; -   ; .. ; .. ; 160 ; .. 
Sudan; 65,29 ; 4,43 ; 60,56 ; 13 ; 36 ; 57 
Suriname; -   ; -   ; -   ; 141 ; 160 ; 152 
Swaziland; 0,10 ; 0,43 ; 29,16 ; 100 ; 85 ; 75 
Sweden; 2,20 ; 9,90 ; 207,95 ; 61 ; 14 ; 45 
Switzerland; 1,07 ; 6,62 ; 1.233,16 ; 71 ; 22 ; 12 
Syrian Arab Rep.; 90,20 ; 23,35 ; 2.556,64 ; 10 ; 5 ; 4 
Tajikistan; 0,86 ; 0,33 ; 15,84 ; 73 ; 90 ; 87 
Thailand; 9,04 ; 1,22 ; 163,43 ; 38 ; 65 ; 46 
The former Yugoslav Republic of Macedonia; 0,10 ; 0,52 ; 42,50 ; 100 ; 82 ; 66 
Timor-Leste; -   ; -   ; -   ; 141 ; 160 ; 152 
Togo; 20,27 ; 3,91 ; 410,99 ; 26 ; 38 ; 28 
Tonga; -   ; 0,03 ; .. ; 141 ; 132 ; .. 
Trinidad and Tobago; -   ; 0,01 ; .. ; 141 ; 145 ; .. 
Tunisia; 0,14 ; 0,14 ; 9,24 ; 96 ; 105 ; 95 
Turkey; 17,27 ; 3,67 ; 342,08 ; 28 ; 39 ; 33 
Turkmenistan; -   ; 0,01 ; 0,09 ; 141 ; 145 ; 150 
Uganda; 129,69 ; 5,92 ; 816,47 ; 7 ; 25 ; 17 
Ukraine; 0,37 ; 0,06 ; 4,69 ; 82 ; 118 ; 111 
United Arab Emirates; 0,02 ; 0,08 ; 8,03 ; 125 ; 115 ; 98 
United Kingdom; 4,01 ; 2,41 ; 614,04 ; 54 ; 48 ; 23 
United Rep. of Tanzania; 62,05 ; 2,25 ; 106,81 ; 15 ; 50 ; 51 
United States of America; 5,20 ; 0,84 ; 28,16 ; 51 ; 76 ; 76 
Uruguay; 0,01 ; 0,05 ; 1,02 ; 132 ; 122 ; 132 
Uzbekistan; 0,05 ; 0,01 ; 0,41 ; 112 ; 145 ; 143 
Vanuatu; -   ; 0,01 ; .. ; 141 ; 145 ; .. 
Venezuela (Bolivarian Rep. of); 14,68 ; 7,03 ; 222,53 ; 33 ; 20 ; 42 
Viet Nam; -   ; -   ; -   ; 141 ; 160 ; 152 
Yemen; 98,36 ; 9,86 ; 563,35 ; 9 ; 15 ; 24 
Zambia; 13,99 ; 1,96 ; 34,02 ; 34 ; 53 ; 71 
Zimbabwe; 7,82 ; 0,35 ; 11,12 ; 43 ; 88 ; 93 
