 Origin ; Country of asylum ; Start ;  Repartation  ; End 
Iran (Islamic Rep. of);Iraq;11.053;-;10.787
Iran (Islamic Rep. of);United Kingdom1;11.516;-;11.516
Iraq;Germany;41.167;-;45.774
Iraq;Iran (Islamic Rep. of);32.000;-;28.268
Iraq;Jordan3;29.263;-;32.829
Iraq;Lebanon;5.986;-;7.298
Iraq;Netherlands1;14.396;-;14.396
Iraq;Norway1;5.190;-;5.190
Iraq;Sweden1;24.184;-;24.184
Iraq;Syrian Arab Rep.3;146.200;-;146.200
Iraq;Turkey;17.542;-;20.612
Iraq;United States of America1;5.284;-;5.284
Lao People's Dem. Rep.;France;7.036;-;6.974
Liberia;Ghana;5.262;-;5.259
Mali;Burkina Faso;31.604;-;33.703
Mali;Italy1;5.552;-;5.552
Mali;Mauritania;48.912;-;49.891
Mali;Niger;47.466;-;51.693
Mauritania;France;5.058;-;5.075
Mauritania;Mali;12.898;-;12.858
Mauritania;Senegal;13.699;-;13.699
Mexico;Canada1;6.762;-;6.762
Myanmar;Bangladesh4;232.462;-;232.965
Myanmar;India;14.301;-;15.406
Myanmar;Malaysia;93.866;-;91.980
Myanmar;Thailand;128.863;-;108.684
Nepal;United States of America1;6.197;-;6.197
Nigeria;Cameroon;39.968;-;58.789
Nigeria;Chad;2.930;-;13.319
Nigeria;Italy1;6.293;-;6.293
Nigeria;Niger;30.000;-;30.000
Pakistan;Afghanistan;300.385;-;225.676
Pakistan;Canada1;8.613;-;8.613
Pakistan;Italy1;5.764;-;5.764
Pakistan;United Kingdom1;5.667;-;5.667
Russian Federation;Austria1;17.361;-;17.361
Russian Federation;France;13.644;-;13.966
Russian Federation;Poland1;14.277;-;14.277
Russian Federation;United States of America1;6.163;-;6.163
Rwanda;Congo;9.104;-;9.122
Rwanda;Dem. Rep. of the Congo;38.028;-;35.835
Rwanda;Uganda;14.312;-;14.283
Senegal;Gambia;11.036;-;11.224
Senegal;Guinea-Bissau;8.601;-;8.601
Serbia and Kosovo (S/RES/1244 (1999));France;12.119;-;12.412
Serbia and Kosovo (S/RES/1244 (1999));Germany;9.294;-;9.157
Serbia and Kosovo (S/RES/1244 (1999));Montenegro;5.633;-;5.474
Somalia;Djibouti;19.720;-;11.891
Somalia;Ethiopia;245.097;-;247.281
Somalia;Italy1;12.213;-;12.213
Somalia;Kenya;424.691;-;418.897
Somalia;Netherlands1;18.687;-;18.687
Somalia;Norway1;8.901;-;8.901
Somalia;South Africa;40.133;-;40.631
Somalia;Sweden1;21.189;-;21.189
Somalia;Uganda;17.010;-;23.001
Somalia;United Kingdom1;8.512;-;8.512
Somalia;Yemen;244.204;-;249.016
South Sudan;Ethiopia;251.791;-;275.415
South Sudan;Kenya;89.226;-;94.852
South Sudan;Sudan;115.451;-;190.666
South Sudan;Uganda;157.053;-;179.603
Sri Lanka;Canada1;10.745;-;10.745
Sri Lanka;France;23.966;-;24.135
Sri Lanka;India;65.057;-;64.569
Palestinian5;Egypt;70.023;-;70.021
Palestinian5;Iraq;9.246;-;9.233
Palestinian5;Libya;5.391;-;5.393
Stateless;Sweden1;12.476;-;12.476
Sudan;Chad;357.711;-;315.048
Sudan;Egypt;12.730;-;10.849
Sudan;Ethiopia;35.447;-;36.494
Sudan;Israel;6.588;-;6.333
Sudan;South Sudan;225.727;-;242.673
Syrian Arab Rep.;Armenia;14.994;-;13.005
Syrian Arab Rep.;Austria1;6.653;-;6.653
Syrian Arab Rep.;Bulgaria1;8.501;-;8.501
Syrian Arab Rep.;Denmark1;7.253;-;7.253
Syrian Arab Rep.;Egypt;138.381;-;131.892
Syrian Arab Rep.;Germany;40.994;-;66.060
Syrian Arab Rep.;Iraq;234.196;-;251.317
Syrian Arab Rep.;Jordan;623.112;-;628.816
Syrian Arab Rep.;Lebanon;1.147.494;-;1.164.343
Syrian Arab Rep.;Libya;18.653;-;18.648
Syrian Arab Rep.;Netherlands1;8.692;-;8.692
Syrian Arab Rep.;Sweden1;34.285;-;34.285
Syrian Arab Rep.;Switzerland;5.161;-;7.182
Syrian Arab Rep.;Turkey6;1.557.899;-;1.805.255
Tibetan;Nepal;15.000;-;15.000
Turkey;France;10.699;-;10.698
Turkey;Germany;22.242;-;21.219
Turkey;Iraq;16.637;-;16.678
Ukraine;Russian Federation;231.787;-;311.717
Venezuela (Bolivarian Republic of);United States of America1;6.693;-;6.693
Viet Nam;China7;300.896;-;300.896
Viet Nam;France;8.281;-;8.205
Western Sahara;Algeria8;90.000;-;90.000
Western Sahara;Mauritania;26.001;-;26.007
Zimbabwe;South Africa;6.217;-;6.215
Zimbabwe;United Kingdom1;9.466;-;9.466
;;;;
;;;;
;;;;
;;;;
