 country of asylum ;GDP;inhibitans;km2;GDP-rank;inhibitans-rank;km2-rank
Turkey; 79,82 ; 20,93 ; 2.033,28 ; 11 ; 7 ; 6 
Turkmenistan; -   ; 0,01 ; 0,07 ; 141 ; 152 ; 163 
Uganda; 194,73 ; 9,92 ; 1.590,68 ; 4 ; 17 ; 11 
Ukraine; 0,39 ; 0,07 ; 5,37 ; 84 ; 121 ; 115 
United Arab Emirates; 0,01 ; 0,04 ; 5,30 ; 130 ; 131 ; 116 
United Kingdom; 2,92 ; 1,85 ; 480,36 ; 58 ; 57 ; 29 
United Rep. of Tanzania; 35,34 ; 1,74 ; 93,56 ; 21 ; 60 ; 59 
United States of America; 4,95 ; 0,83 ; 28,72 ; 48 ; 77 ; 83 
Uruguay; 0,01 ; 0,08 ; 1,53 ; 130 ; 118 ; 140 
Uzbekistan; 0,02 ; -   ; 0,29 ; 124 ; 161 ; 157 
Vanuatu; -   ; -   ; -   ; 141 ; 161 ; 166 
Venezuela (Bolivarian Rep. of); 9,94 ; 5,63 ; 189,70 ; 33 ; 32 ; 50 
Viet Nam; -   ; -   ; -   ; 141 ; 161 ; 166 
Yemen; 62,10 ; 10,32 ; 611,96 ; 16 ; 16 ; 21 
Zambia; 6,29 ; 1,70 ; 33,92 ; 45 ; 62 ; 79 
Zimbabwe; 3,27 ; 0,42 ; 15,51 ; 56 ; 84 ; 92 
